,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Rikitea,-23.1203,-134.9692,73.72,75,89,10.89,overcast clouds,PF,2021-10-12 12:15:39
1,Pascagoula,30.3658,-88.5561,73.45,100,1,0.0,clear sky,US,2021-10-12 12:23:41
2,Ushuaia,-54.8,-68.3,51.46,50,40,11.5,scattered clouds,AR,2021-10-12 12:21:43
3,Barrow,71.2906,-156.7887,30.22,80,90,20.71,overcast clouds,US,2021-10-12 12:23:41
4,Atuona,-9.8,-139.0333,77.45,67,13,18.45,few clouds,PF,2021-10-12 12:23:42
5,Qaanaaq,77.484,-69.3632,28.94,96,100,4.32,overcast clouds,GL,2021-10-12 12:23:42
6,Carmo Do Paranaiba,-19.0008,-46.3161,67.24,81,86,6.64,overcast clouds,BR,2021-10-12 12:23:42
7,Bilma,18.6853,12.9164,100.11,5,47,7.02,scattered clouds,NE,2021-10-12 12:23:43
8,Oistins,13.0667,-59.5333,84.29,74,20,19.57,few clouds,BB,2021-10-12 12:19:29
9,Kodiak,57.79,-152.4072,43.02,76,69,20.36,broken clouds,US,2021-10-12 12:23:43
10,Sikasso,10.9167,-7.0,93.04,46,13,2.39,few clouds,ML,2021-10-12 12:23:43
11,Caravelas,-17.7125,-39.2481,71.22,96,100,6.11,overcast clouds,BR,2021-10-12 12:23:44
12,Shache,38.4167,77.2406,63.66,17,0,3.94,clear sky,CN,2021-10-12 12:24:13
13,Trincomalee,8.5711,81.2335,85.93,63,100,16.62,overcast clouds,LK,2021-10-12 12:24:13
14,Araouane,18.9048,-3.5265,100.54,6,55,5.5,broken clouds,ML,2021-10-12 12:24:14
15,Mataura,-46.1927,168.8643,39.04,93,92,8.05,overcast clouds,NZ,2021-10-12 12:24:14
16,Mahebourg,-20.4081,57.7,79.25,73,20,11.5,few clouds,MU,2021-10-12 12:24:14
17,Saint George,37.1041,-113.5841,43.43,87,90,1.99,moderate rain,US,2021-10-12 12:19:24
18,Asau,46.4333,26.4,51.28,70,100,2.33,overcast clouds,RO,2021-10-12 12:24:15
19,Puerto Ayora,-0.7393,-90.3518,68.56,91,95,5.01,overcast clouds,EC,2021-10-12 12:24:15
20,Busselton,-33.65,115.3333,52.05,68,62,7.92,broken clouds,AU,2021-10-12 12:24:15
21,Punta Arenas,-53.15,-70.9167,46.51,61,0,10.36,clear sky,CL,2021-10-12 12:22:29
22,Bathsheba,13.2167,-59.5167,84.81,74,20,19.57,few clouds,BB,2021-10-12 12:24:16
23,Sioux Lookout,50.1001,-91.917,50.07,93,90,4.61,overcast clouds,CA,2021-10-12 12:24:16
24,Kaeo,-35.1,173.7833,48.33,92,14,5.3,few clouds,NZ,2021-10-12 12:24:16
25,Nagato,34.3833,131.2,74.19,92,100,15.14,overcast clouds,JP,2021-10-12 12:24:17
26,Kaitangata,-46.2817,169.8464,42.75,85,96,19.24,overcast clouds,NZ,2021-10-12 12:24:17
27,Broome,42.2506,-75.833,61.65,81,90,4.0,overcast clouds,US,2021-10-12 12:24:17
28,Ilulissat,69.2167,-51.1,26.62,74,75,0.0,broken clouds,GL,2021-10-12 12:24:18
29,Staropesterevo,54.5001,86.4094,28.26,85,100,4.09,overcast clouds,RU,2021-10-12 12:24:18
30,Nabire,-3.3667,135.4833,79.75,85,64,2.15,broken clouds,ID,2021-10-12 12:24:18
31,New Norfolk,-42.7826,147.0587,47.71,65,70,1.01,broken clouds,AU,2021-10-12 12:24:19
32,Port Alfred,-33.5906,26.891,72.3,64,89,15.82,overcast clouds,ZA,2021-10-12 12:23:32
33,Ust-Uda,54.1742,103.0304,34.92,81,100,4.9,overcast clouds,RU,2021-10-12 12:24:19
34,Ulladulla,-35.35,150.4667,54.5,86,98,4.16,overcast clouds,AU,2021-10-12 12:24:19
35,Neyyattinkara,8.4,77.0833,82.26,86,99,8.79,overcast clouds,IN,2021-10-12 12:24:20
36,Mende,44.6667,3.5,48.25,59,69,10.8,broken clouds,FR,2021-10-12 12:24:20
37,Berdigestyakh,62.0989,126.6992,25.41,65,100,12.06,overcast clouds,RU,2021-10-12 12:24:20
38,Lavrentiya,65.5833,-171.0,30.29,89,100,12.48,overcast clouds,RU,2021-10-12 12:24:21
39,Tuktoyaktuk,69.4541,-133.0374,25.18,85,41,13.27,scattered clouds,CA,2021-10-12 12:24:21
40,Kolo,52.2002,18.6387,54.25,61,47,14.07,scattered clouds,PL,2021-10-12 12:24:21
41,Flinders,-34.5833,150.8552,60.39,74,99,3.0,overcast clouds,AU,2021-10-12 12:24:22
42,Thompson,55.7435,-97.8558,42.96,100,90,4.61,overcast clouds,CA,2021-10-12 12:24:22
43,Camocim,-2.9022,-40.8411,86.52,57,63,13.11,broken clouds,BR,2021-10-12 12:24:22
44,Hermanus,-34.4187,19.2345,73.8,65,95,7.87,overcast clouds,ZA,2021-10-12 12:24:23
45,Firminy,45.3873,4.2907,57.22,71,90,8.05,overcast clouds,FR,2021-10-12 12:24:23
46,Saldanha,-33.0117,17.9442,77.05,72,100,15.93,overcast clouds,ZA,2021-10-12 12:24:23
47,Geraldton,-28.7667,114.6,61.21,67,0,18.41,clear sky,AU,2021-10-12 12:24:24
48,Maumere,-8.6199,122.2111,79.21,74,92,6.53,overcast clouds,ID,2021-10-12 12:24:24
49,Jamestown,42.097,-79.2353,63.72,94,40,1.99,scattered clouds,US,2021-10-12 12:23:50
50,Lorengau,-2.0226,147.2712,82.76,75,23,6.31,few clouds,PG,2021-10-12 12:24:24
51,Vaini,-21.2,-175.2,69.96,78,20,8.05,few clouds,TO,2021-10-12 12:24:25
52,Makaha,21.4694,-158.2175,78.71,83,90,4.61,overcast clouds,US,2021-10-12 12:24:25
53,Sao Felix Do Xingu,-6.6447,-51.995,84.27,66,81,2.57,broken clouds,BR,2021-10-12 12:24:25
54,Ponta Do Sol,32.6667,-17.1,76.71,78,19,4.7,few clouds,PT,2021-10-12 12:24:25
55,Tuy Hoa,13.0833,109.3,78.08,90,100,4.63,overcast clouds,VN,2021-10-12 12:23:54
56,Bluff,-46.6,168.3333,44.22,74,93,25.08,overcast clouds,NZ,2021-10-12 12:24:26
57,Nkhotakota,-12.9274,34.2961,81.03,49,63,11.86,broken clouds,MW,2021-10-12 12:24:26
58,Boddam,57.4667,-1.7833,50.43,64,6,10.85,clear sky,GB,2021-10-12 12:24:26
59,Thap Than,15.4606,99.8917,78.85,91,91,1.52,overcast clouds,TH,2021-10-12 12:24:27
60,Waldkraiburg,48.2085,12.3989,50.38,86,100,8.81,overcast clouds,DE,2021-10-12 12:24:27
61,Albany,42.6001,-73.9662,54.95,95,80,1.95,broken clouds,US,2021-10-12 12:24:27
62,Algeciras,36.1333,-5.4505,78.57,78,75,16.11,broken clouds,ES,2021-10-12 12:24:28
63,Filadelfia,39.9523,-75.1638,65.05,92,90,4.0,overcast clouds,US,2021-10-12 12:22:59
64,Riohacha,11.5444,-72.9072,78.93,88,62,4.47,broken clouds,CO,2021-10-12 12:24:28
65,Senanga,-16.1167,23.2667,96.17,12,0,9.46,clear sky,ZM,2021-10-12 12:24:28
66,Fort Nelson,58.8053,-122.7002,26.19,86,75,4.61,broken clouds,CA,2021-10-12 12:24:29
67,Aloleng,16.1307,119.7824,81.61,83,100,25.52,light rain,PH,2021-10-12 12:24:29
68,Kainantu,-6.2887,145.8655,62.71,99,98,0.96,light rain,PG,2021-10-12 12:24:29
69,Khatanga,71.9667,102.5,14.85,96,100,6.2,overcast clouds,RU,2021-10-12 12:24:29
70,Carnarvon,-24.8667,113.6333,66.27,68,0,19.57,clear sky,AU,2021-10-12 12:24:30
71,Kapaa,22.0752,-159.319,77.32,82,90,4.0,light rain,US,2021-10-12 12:24:30
72,Iqaluit,63.7506,-68.5145,33.53,100,90,8.01,mist,CA,2021-10-12 12:24:31
73,Avarua,-21.2078,-159.775,71.65,94,75,20.71,heavy intensity rain,CK,2021-10-12 12:24:31
74,Sitka,57.0531,-135.33,46.29,76,90,10.36,light rain,US,2021-10-12 12:24:22
75,Kamenka,51.3223,42.7678,58.51,43,81,12.55,broken clouds,RU,2021-10-12 12:24:31
76,Abadan,30.3392,48.3043,102.15,9,0,4.61,clear sky,IR,2021-10-12 12:24:32
77,Saint-Philippe,-21.3585,55.7679,76.59,85,53,6.29,light rain,RE,2021-10-12 12:24:32
78,San Rafael,-34.6177,-68.3301,64.92,45,71,4.74,broken clouds,AR,2021-10-12 12:19:59
79,Tazovskiy,67.4667,78.7,26.89,69,20,5.28,few clouds,RU,2021-10-12 12:20:21
80,Russell,32.3502,-85.1999,66.99,94,90,3.44,mist,US,2021-10-12 12:24:32
81,Porbandar,21.6422,69.6093,86.56,67,3,9.91,clear sky,IN,2021-10-12 12:24:33
82,Chokurdakh,70.6333,147.9167,15.57,86,100,7.9,overcast clouds,RU,2021-10-12 12:24:33
83,Upernavik,72.7868,-56.1549,34.23,98,100,19.75,moderate rain,GL,2021-10-12 12:24:34
84,Ellisras,-23.6649,27.7443,84.85,13,2,6.26,clear sky,ZA,2021-10-12 12:24:34
85,Hobart,-42.8794,147.3294,48.06,76,75,1.01,broken clouds,AU,2021-10-12 12:22:14
86,Roanoke,37.271,-79.9414,64.42,96,90,0.0,overcast clouds,US,2021-10-12 12:24:34
87,Tarbagatay,51.4803,107.3602,38.73,83,90,3.09,overcast clouds,RU,2021-10-12 12:24:35
88,Arraial Do Cabo,-22.9661,-42.0278,69.66,83,75,13.8,broken clouds,BR,2021-10-12 12:24:35
